"Date","PointForecast","Lo80","Hi80","Lo95","Hi95","model"
2025-01-01,7.89395411299349,7.46838954205563,8.31951868393136,7.24310926635636,8.54479895963063,"ETS"
2025-02-01,7.82082354744267,7.21099198089686,8.43065511398849,6.88816664997518,8.75348044491016,"ETS"
2025-03-01,7.75735640083818,6.91374126646307,8.60097153521329,6.46715839036211,9.04755441131425,"ETS"
2025-04-01,7.70227575613406,6.59982209336408,8.80472941890403,6.01621837713566,9.38833313513245,"ETS"
2025-05-01,7.65447342716017,6.28062645532117,9.02832039899918,5.55335579953698,9.75559105478337,"ETS"
2025-06-01,7.61298766264884,5.96215995132488,9.2638153739728,5.08826454899038,10.1377107763073,"ETS"
2025-07-01,7.57698379643492,5.64783273858503,9.5061348542848,4.62660185646488,10.527365736405,"ETS"
2025-08-01,7.54573745452417,5.33965273630494,9.75182217274339,4.17182202981285,10.9196528792355,"ETS"
2025-09-01,7.51861998116721,5.03879783948956,9.99844212284486,3.72605929424101,11.3111806680934,"ETS"
2025-10-01,7.4950857907213,4.74592325299358,10.244248328449,3.2906045146961,11.6995670667465,"ETS"
2025-11-01,7.47466139082779,4.46134203091194,10.4879807507437,2.86618711781437,12.0831356638412,"ETS"
2025-12-01,7.45693585605876,4.18513838301995,10.7287333290976,2.45315342211498,12.4607182900025,"ETS"
2026-01-01,7.44155256036898,3.91724223608591,10.9658628846521,2.05158504626265,12.8315200744753,"ETS"
2026-02-01,7.42820200201558,3.65747996058216,11.198924043449,1.66138028713574,13.1950237168954,"ETS"
2026-03-01,7.41661557658751,3.4056096796074,11.4276214735676,1.28231141652194,13.5509197366531,"ETS"
2026-04-01,7.40656017286231,3.16134621539649,11.6517741303281,0.914065694293324,13.8990546514313,"ETS"
2026-05-01,7.39783348276238,2.9243788664491,11.8712880990757,0.556275038937642,14.2393919265871,"ETS"
2026-06-01,7.39025993105015,2.69438411522763,12.0861357468727,0.208537616994362,14.5719822451059,"ETS"
2026-07-01,7.38368714287031,2.47103469285726,12.2963395928834,-0.129566423712712,14.8969407094533,"ETS"
2026-08-01,7.37798287806848,2.25400599503663,12.5019597611003,-0.458463518913203,15.2144292750502,"ETS"
2026-09-01,7.37303237060662,2.04298055643448,12.7030841847788,-0.77857843646254,15.5246431776758,"ETS"
2026-10-01,7.36873601954627,1.83765109493661,12.8998209441559,-1.09032839824839,15.8278004373409,"ETS"
2026-11-01,7.36500738514344,1.63772250019424,13.0922922700926,-1.39411897816511,16.124133748452,"ETS"
2026-12-01,7.36177144973809,1.44291304338686,13.2806298560893,-1.69034133131161,16.4138842307878,"ETS"
2025-01-01,7.87924987964993,7.46175742730755,8.2967423319923,7.24075027307293,8.51774948622692,"ARIMA"
2025-02-01,7.93717091954019,7.31463981515366,8.55970202392673,6.98509175498856,8.88925008409183,"ARIMA"
