"model","ME","RMSE","MAE","MPE","MAPE"
"ETS",0.0148821043898126,0.324291909589451,0.23928334057812,0.541114151979416,5.17799751159011
"ARIMA",0.016806395736141,0.318140733169864,0.233375867731363,0.502909414960143,5.06249251990737
"SARIMA",-0.00163220609288999,0.263724946321147,0.19708432773132,-0.298105754922673,4.29876683306191
"PROPHET",0.0060250510290867,1.87403428025253,1.47763583758674,-7.71131011418479,29.7984263109579
"ARIMAX ALL",0.0159098136168783,0.305035863533959,0.230690841323832,0.461510131362238,5.18774900161636
"SARIMAX ALL",0.0246150898592128,0.271008192439235,0.205504206912651,0.549235113996183,4.4750450184974
