"Model","AIC","BIC"
"ARIMA",70.3690648393211,83.7332090116306
"ARIMAX",96.8996058001152,121.038786844233
"SARIMA",41.1280952162728,59.8378970575062
"SARIMAX",83.0598432453263,117.927549197941
