"Date","seasonal","trend","remainder"
2016-01-01,-0.0138344325434801,2.05456843233709,0.159266000206387
2016-02-01,-0.0656095165728002,2.09349221514519,-0.127882698572388
2016-03-01,-0.106273723874782,2.13241599795328,0.0738577259214988
2016-04-01,-0.0927457182757795,2.17442896759781,0.0183167506779678
2016-05-01,-0.0903286192197062,2.21644193724234,-0.0261133180226341
2016-06-01,-0.0316954089463155,2.26261713747735,0.0690782714689688
2016-07-01,0.00471577953220324,2.30879233771235,-0.0135081172445557
2016-08-01,0.0159540614190245,2.35972895092215,0.124316987658828
2016-09-01,0.0271924178449118,2.41066556413194,-0.237857981976854
2016-10-01,0.0716510296675525,2.47878711692691,-0.350438146594459
2016-11-01,0.14944288040741,2.54690866972187,-0.29635155012928
2016-12-01,0.13153138039446,2.63520411363327,-0.166735494027728
2017-01-01,-0.0138344325434801,2.72349955754466,0.0903348749988151
2017-02-01,-0.0656095165728002,2.81230993155671,0.153299585016088
2017-03-01,-0.106273723874782,2.90112030556876,0.105153418306022
2017-04-01,-0.0927457182757795,2.96414903483492,0.228596683440857
2017-05-01,-0.0903286192197062,3.02717776410109,0.163150855118621
2017-06-01,-0.0316954089463155,3.03524138268721,0.296454026259101
2017-07-01,0.00471577953220324,3.04330500127334,0.251979219194454
2017-08-01,0.0159540614190245,3.00196523279398,0.282080705786997
2017-09-01,0.0271924178449118,2.96062546431461,0.212182117840475
2017-10-01,0.0716510296675525,2.89177671236193,0.0365722579705183
2017-11-01,0.14944288040741,2.82292796040924,-0.0723708408166543
2017-12-01,0.13153138039446,2.74937405022557,-0.280905430620031
2018-01-01,-0.0138344325434801,2.6758201400419,-0.161985707498417
2018-02-01,-0.0656095165728002,2.62688187315471,-0.0612723565819082
2018-03-01,-0.106273723874782,2.57794360626752,-0.071669882392738
2018-04-01,-0.0927457182757795,2.57754880740152,-0.284803089125744
2018-05-01,-0.0903286192197062,2.57715400853553,-0.086825389315822
2018-06-01,-0.0316954089463155,2.63115116178422,-0.299455752837905
2018-07-01,0.00471577953220324,2.68514831503291,-0.0898640945651157
2018-08-01,0.0159540614190245,2.78902737491814,-0.104981436337164
2018-09-01,0.0271924178449118,2.89290643480337,-0.22009885264828
2018-10-01,0.0716510296675525,3.04060592966729,-0.112256959334847
2018-11-01,0.14944288040741,3.18830542453122,-0.13774830493863
2018-12-01,0.13153138039446,3.36323752968023,-0.094768910074694
2019-01-01,-0.0138344325434801,3.53816963482925,-0.124335202285767
2019-02-01,-0.0656095165728002,3.71880117384177,0.14680834273103
2019-03-01,-0.106273723874782,3.89943271285429,0.00684101102048817
2019-04-01,-0.0927457182757795,4.06691552497865,0.125830193297134
2019-05-01,-0.0903286192197062,4.234398337103,0.155930282116709
2019-06-01,-0.0316954089463155,4.37182497708379,0.159870431862524
2019-07-01,0.00471577953220324,4.50925161706459,0.18603260340321
2019-08-01,0.0159540614190245,4.6007816267771,0.0832643118038767
2019-09-01,0.0271924178449118,4.69231163648961,0.180495945665477
2019-10-01,0.0716510296675525,4.70740623351619,0.220942736816258
2019-11-01,0.14944288040741,4.72250083054277,0.128056289049822
2019-12-01,0.13153138039446,4.63973028398472,0.228738335620816
2020-01-01,-0.0138344325434801,4.55695973742668,0.456874695116802
2020-02-01,-0.0656095165728002,4.40190685571303,0.563702660859775
2020-03-01,-0.106273723874782,4.24685397399937,0.65941974987541
2020-04-01,-0.0927457182757795,4.05960542512417,0.0331402931516074
2020-05-01,-0.0903286192197062,3.87235687624897,0.117971742970734
2020-06-01,-0.0316954089463155,3.69277403892977,-0.461078629983454
2020-07-01,0.00471577953220324,3.51319120161057,-0.61790698114277
2020-08-01,0.0159540614190245,3.37658094162801,-0.592535003047034
2020-09-01,0.0271924178449118,3.23997068164545,-0.167163099490364
2020-10-01,0.0716510296675525,3.19507115645629,-0.266722186123847
2020-11-01,0.14944288040741,3.15017163126714,-0.499614511674546
2020-12-01,0.13153138039446,3.21052652563776,-0.242057906032222
2021-01-01,-0.0138344325434801,3.27088142000839,0.142953012535093
2021-02-01,-0.0656095165728002,3.38444852716462,-0.118839010591816
2021-03-01,-0.106273723874782,3.49801563432085,-0.491741910446065
2021-04-01,-0.0927457182757795,3.61341323122097,0.0793324870548124
2021-05-01,-0.0903286192197062,3.72881082812109,0.0615177910986189
2021-06-01,-0.0316954089463155,3.84006391589983,0.391631493046487
2021-07-01,0.00471577953220324,3.95131700367857,0.343967216789225
2021-08-01,0.0159540614190245,4.09030907108009,0.393736867500889
2021-09-01,0.0271924178449118,4.2293011384816,-0.356493556326515
2021-10-01,0.0716510296675525,4.44448651494917,-0.516137544616725
2021-11-01,0.14944288040741,4.65967189141674,-0.309114771824152
2021-12-01,0.13153138039446,4.98002543031698,-0.611556810711436
2022-01-01,-0.0138344325434801,5.30037896921721,-1.08654453667373
2022-02-01,-0.0656095165728002,5.76015110713467,-0.99454159056187
2022-03-01,-0.106273723874782,6.21992324505213,-0.31364952117735
2022-04-01,-0.0927457182757795,6.81430185249033,-0.121556134214551
2022-05-01,-0.0903286192197062,7.40868045992853,-0.11835184070882
2022-06-01,-0.0316954089463155,8.0650270900855,-0.333331681139188
2022-07-01,0.00471577953220324,8.72137372024248,0.373910500225312
2022-08-01,0.0159540614190245,9.34543627438187,0.0386096641991003
2022-09-01,0.0271924178449118,9.96949882852127,0.503308753633823
2022-10-01,0.0716510296675525,10.4816810266492,0.746667943683271
2022-11-01,0.14944288040741,10.9938632247771,0.556693894815503
2022-12-01,0.13153138039446,11.3754681636057,0.693000455999879
