"Date","PointForecast","Lo80","Hi80","Lo95","Hi95","model"
2025-07-01,11.7780075765106,9.51504998221559,14.0758763977864,9.51504998221559,14.0758763977864,"PROPHET"
2025-08-01,11.8418103855718,9.52410673306886,14.1076334980404,9.52410673306886,14.1076334980404,"PROPHET"
2025-09-01,11.9066912312088,9.47201412931183,14.2812889667773,9.47201412931183,14.2812889667773,"PROPHET"
2025-10-01,12.0001764864859,9.68544849199431,14.5215593529082,9.68544849199431,14.5215593529082,"PROPHET"
2025-11-01,12.1324653069375,9.74230157308282,14.7538756782652,9.74230157308282,14.7538756782652,"PROPHET"
2025-12-01,12.1542158208507,9.8458621520698,14.7198149851655,9.8458621520698,14.7198149851655,"PROPHET"
2026-01-01,12.658901196184,10.1673333415765,15.1348990034235,10.1673333415765,15.1348990034235,"PROPHET"
2026-02-01,12.7004078431695,10.0885973608787,15.0488018023395,10.0885973608787,15.0488018023395,"PROPHET"
2026-03-01,12.7276416280187,10.5622967837938,14.9940905655209,10.5622967837938,14.9940905655209,"PROPHET"
2026-04-01,12.8246537404565,10.0431368869569,15.0958506593009,10.0431368869569,15.0958506593009,"PROPHET"
2026-05-01,12.9107534020142,10.5254423539419,15.3878839123549,10.5254423539419,15.3878839123549,"PROPHET"
2026-06-01,13.0416132742794,10.5765100056986,15.4438522091924,10.5765100056986,15.4438522091924,"PROPHET"
2026-07-01,13.134805972865,10.7094428807139,15.6085631125244,10.7094428807139,15.6085631125244,"PROPHET"
2026-08-01,13.1961026580399,10.8304024542514,15.7124152008937,10.8304024542514,15.7124152008937,"PROPHET"
2026-09-01,13.2584102095905,10.948685285952,15.497265120023,10.948685285952,15.497265120023,"PROPHET"
2026-10-01,13.3493660090413,10.7807588491656,15.8309809701471,10.7807588491656,15.8309809701471,"PROPHET"
2026-11-01,13.4858080726409,11.0947917383718,15.9251921191161,11.0947917383718,15.9251921191161,"PROPHET"
2026-12-01,13.520230914184,11.1152227448647,15.9938112582613,11.1152227448647,15.9938112582613,"PROPHET"
2025-01-01,7.72606019941384,7.21738490939558,8.23473548943211,6.94810847662258,8.50401192220511,"ARIMAX ALL"
2025-02-01,7.73660161105186,7.06139918236908,8.41180403973463,6.70396860737725,8.76923461472646,"ARIMAX ALL"
2025-03-01,7.7543062536022,6.9390925676807,8.56951993952371,6.50754451020617,9.00106799699824,"ARIMAX ALL"
2025-04-01,7.7745904305677,6.83785973900512,8.71132112213028,6.34198446445836,9.20719639667704,"ARIMAX ALL"
2025-05-01,7.79580351766891,6.75087191255998,8.84073512277783,6.19771853429112,9.3938885010467,"ARIMAX ALL"
2025-06-01,7.81735111243753,6.67417545853907,8.96052676633598,6.06901482236257,9.56568740251248,"ARIMAX ALL"
2025-07-01,7.83901916598387,6.60531839299203,9.07271993897571,5.95223665346305,9.72580167850468,"ARIMAX ALL"
2025-08-01,7.86073059766035,6.54268047701107,9.17878071830963,5.84494689004694,9.87651430527375,"ARIMAX ALL"
2025-09-01,7.88245765013433,6.48513149118636,9.27978380908231,5.74543170453386,10.0194835957348,"ARIMAX ALL"
2025-10-01,7.90419032777736,6.43184731687906,9.37653333867566,5.65243600759624,10.1559446479585,"ARIMAX ALL"
2025-11-01,7.92592503108692,6.38220522864962,9.46964483352421,5.56500932832108,10.2868407338528,"ARIMAX ALL"
2025-12-01,7.94766046385454,6.33572097439023,9.55959995331885,5.4824117531908,10.4129091745183,"ARIMAX ALL"
2026-01-01,7.96939615930561,6.29200907219538,9.64678324641583,5.40405398560111,10.5347383330101,"ARIMAX ALL"
2026-02-01,7.99113194935099,6.25075666848214,9.73150723021985,5.32945764626731,10.6528062524347,"ARIMAX ALL"
2026-03-01,8.01286777346053,6.21170568950702,9.81402985741403,5.2582280775012,10.7675074694199,"ARIMAX ALL"
2026-04-01,8.03460360983682,6.17464027490067,9.89456694477296,5.19003516089524,10.8791720587784,"ARIMAX ALL"
2026-05-01,8.05633945063046,6.13937769586743,9.97330120539349,5.12459944102764,10.9880794602333,"ARIMAX ALL"
2026-06-01,8.07807529301483,6.10576164306867,10.050388942961,5.06168186489047,11.0944687211392,"ARIMAX ALL"
2026-07-01,8.09981113597203,6.07365716866152,10.1259651032825,5.00107604810691,11.1985462238372,"ARIMAX ALL"
2026-08-01,8.12154697913551,6.04294680953283,10.2001471487382,4.94260234654177,11.3004916117292,"ARIMAX ALL"
2026-09-01,8.14328282237327,6.01352757093733,10.2730380738092,4.88610324339501,11.4004624013515,"ARIMAX ALL"
2026-10-01,8.16501866563779,5.98530854798229,10.3447287832933,4.83143971165564,11.4985976196199,"ARIMAX ALL"
2026-11-01,8.18675450891194,5.95820902743384,10.41529999039,4.77848831109383,11.59502070673,"ARIMAX ALL"
2026-12-01,8.20849035218955,5.93215695634684,10.4848237480323,4.72713884624252,11.6898418581366,"ARIMAX ALL"
2025-01-01,7.57386362238569,7.13091472109406,8.01681252367732,6.89643173679921,8.25129550797217,"SARIMAX ALL"
2025-02-01,7.51439773365865,6.92450415134574,8.10429131597157,6.6122333517258,8.41656211559151,"SARIMAX ALL"
2025-03-01,7.45104166992532,6.72568935155492,8.17639398829572,6.34171102859099,8.56037231125966,"SARIMAX ALL"
2025-04-01,7.31249730876732,6.44476809349787,8.18022652403677,5.98541999406044,8.63957462347419,"SARIMAX ALL"
2025-05-01,7.22928439969103,6.22412859403728,8.23444020534479,5.69203125210075,8.76653754728132,"SARIMAX ALL"
2025-06-01,7.09316951399277,5.94356002394421,8.24277900404134,5.33499352064276,8.85134550734279,"SARIMAX ALL"
2025-07-01,6.96507992740556,5.67539180179368,8.25476805301744,4.99267214807904,8.93748770673209,"SARIMAX ALL"
2025-08-01,6.83315529092986,5.39624135979491,8.27006922206481,4.63558507243337,9.03072550942635,"SARIMAX ALL"
2025-09-01,6.70700654530446,5.12759057872591,8.286422511883,4.29149827054692,9.12251482006199,"SARIMAX ALL"
2025-10-01,6.6755985192393,4.94618495663992,8.40501208183867,4.03068871755725,9.32050832092134,"SARIMAX ALL"
2025-11-01,6.64659221250039,4.77318300905439,8.52000141594639,3.78146008221449,9.51172434278629,"SARIMAX ALL"
2025-12-01,6.58846671493743,4.60176860548778,8.57516482438708,3.55007415441614,9.62685927545872,"SARIMAX ALL"
2026-01-01,6.5319559016337,4.43383281777079,8.63007898549661,3.32315354824896,9.74075825501844,"SARIMAX ALL"
2026-02-01,6.46186967083367,4.2538734910167,8.66986585065065,3.08503091787701,9.83870842379034,"SARIMAX ALL"
2026-03-01,6.39661822543063,4.08024249768936,8.71299395317191,2.85402725750001,9.93920919336126,"SARIMAX ALL"
2026-04-01,6.36042358282882,3.93704931613046,8.78379784952717,2.65419247087857,10.0666546947791,"SARIMAX ALL"
2026-05-01,6.3085648820239,3.77931498104061,8.83781478300718,2.44041096055283,10.176718803495,"SARIMAX ALL"
2026-06-01,6.27789289240811,3.64413352483409,8.91165225998213,2.24990553460216,10.3058802502141,"SARIMAX ALL"
2026-07-01,6.24747195189468,3.51003985056226,8.98490405322709,2.06093083019168,10.4340130735977,"SARIMAX ALL"
2026-08-01,6.22123791766477,3.38159446868514,9.0608813666444,1.87837802925282,10.5640978060767,"SARIMAX ALL"
2026-09-01,6.19579579272939,3.25441719129056,9.13717439416823,1.69734541530189,10.6942461701569,"SARIMAX ALL"
2026-10-01,6.14064480070586,3.09924874922058,9.18204085219113,1.48923093340642,10.7920586680053,"SARIMAX ALL"
2026-11-01,6.08722814883383,2.94582194422574,9.22863435344193,1.2828619513441,10.8915943463236,"SARIMAX ALL"
2026-12-01,6.0462154226011,2.79773613886041,9.29469470634178,1.07809508173088,11.0143357634713,"SARIMAX ALL"
